filename,activity,subject,label,samples
D01_SA01_R01.txt,D01,SA01,ADL,19999
D02_SA01_R01.txt,D02,SA01,ADL,20000
D03_SA01_R01.txt,D03,SA01,ADL,20000
D04_SA01_R01.txt,D04,SA01,ADL,20000
D05_SA01_R01.txt,D05,SA01,ADL,5000
D05_SA01_R02.txt,D05,SA01,ADL,5000
D05_SA01_R03.txt,D05,SA01,ADL,5000
D05_SA01_R04.txt,D05,SA01,ADL,5000
D05_SA01_R05.txt,D05,SA01,ADL,5000
D06_SA01_R01.txt,D06,SA01,ADL,5000
D06_SA01_R02.txt,D06,SA01,ADL,5000
D06_SA01_R03.txt,D06,SA01,ADL,5000
D06_SA01_R04.txt,D06,SA01,ADL,5000
D06_SA01_R05.txt,D06,SA01,ADL,5000
D07_SA01_R01.txt,D07,SA01,ADL,2400
D07_SA01_R02.txt,D07,SA01,ADL,2400
D07_SA01_R03.txt,D07,SA01,ADL,2400
D07_SA01_R04.txt,D07,SA01,ADL,2400
D07_SA01_R05.txt,D07,SA01,ADL,2400
D08_SA01_R01.txt,D08,SA01,ADL,2400
D08_SA01_R02.txt,D08,SA01,ADL,2400
D08_SA01_R03.txt,D08,SA01,ADL,2400
D08_SA01_R04.txt,D08,SA01,ADL,2400
D08_SA01_R05.txt,D08,SA01,ADL,2400
D09_SA01_R01.txt,D09,SA01,ADL,2400
D09_SA01_R02.txt,D09,SA01,ADL,2400
D09_SA01_R03.txt,D09,SA01,ADL,2400
D09_SA01_R04.txt,D09,SA01,ADL,2400
D09_SA01_R05.txt,D09,SA01,ADL,2400
D10_SA01_R01.txt,D10,SA01,ADL,2400
D10_SA01_R02.txt,D10,SA01,ADL,2400
D10_SA01_R03.txt,D10,SA01,ADL,2400
D10_SA01_R04.txt,D10,SA01,ADL,2400
D10_SA01_R05.txt,D10,SA01,ADL,2400
D11_SA01_R01.txt,D11,SA01,ADL,2400
D11_SA01_R02.txt,D11,SA01,ADL,2400
D11_SA01_R03.txt,D11,SA01,ADL,2400
D11_SA01_R04.txt,D11,SA01,ADL,2400
D11_SA01_R05.txt,D11,SA01,ADL,2400
D12_SA01_R01.txt,D12,SA01,ADL,2400
D12_SA01_R02.txt,D12,SA01,ADL,2400
D12_SA01_R03.txt,D12,SA01,ADL,2400
D12_SA01_R04.txt,D12,SA01,ADL,2400
D12_SA01_R05.txt,D12,SA01,ADL,2400
D13_SA01_R01.txt,D13,SA01,ADL,2400
D13_SA01_R02.txt,D13,SA01,ADL,2400
D13_SA01_R03.txt,D13,SA01,ADL,2400
D13_SA01_R04.txt,D13,SA01,ADL,2400
D13_SA01_R05.txt,D13,SA01,ADL,2400
D14_SA01_R01.txt,D14,SA01,ADL,2400
D14_SA01_R02.txt,D14,SA01,ADL,2400
D14_SA01_R03.txt,D14,SA01,ADL,2400
D14_SA01_R04.txt,D14,SA01,ADL,2400
D14_SA01_R05.txt,D14,SA01,ADL,2400
D15_SA01_R01.txt,D15,SA01,ADL,2400
D15_SA01_R02.txt,D15,SA01,ADL,2400
D15_SA01_R03.txt,D15,SA01,ADL,2400
D15_SA01_R04.txt,D15,SA01,ADL,2400
D15_SA01_R05.txt,D15,SA01,ADL,2400
D16_SA01_R01.txt,D16,SA01,ADL,2400
D16_SA01_R02.txt,D16,SA01,ADL,2400
D16_SA01_R03.txt,D16,SA01,ADL,2400
D16_SA01_R04.txt,D16,SA01,ADL,2400
D16_SA01_R05.txt,D16,SA01,ADL,2400
D17_SA01_R01.txt,D17,SA01,ADL,4999
D17_SA01_R02.txt,D17,SA01,ADL,5000
D17_SA01_R03.txt,D17,SA01,ADL,5000
D17_SA01_R04.txt,D17,SA01,ADL,5000
D17_SA01_R05.txt,D17,SA01,ADL,5000
D18_SA01_R01.txt,D18,SA01,ADL,2400
D18_SA01_R02.txt,D18,SA01,ADL,2400
D18_SA01_R03.txt,D18,SA01,ADL,2400
D18_SA01_R04.txt,D18,SA01,ADL,2400
D18_SA01_R05.txt,D18,SA01,ADL,2400
D19_SA01_R01.txt,D19,SA01,ADL,2400
D19_SA01_R02.txt,D19,SA01,ADL,2400
D19_SA01_R03.txt,D19,SA01,ADL,2400
D19_SA01_R04.txt,D19,SA01,ADL,2400
D19_SA01_R05.txt,D19,SA01,ADL,2400
F01_SA01_R01.txt,F01,SA01,Fall,3000
F01_SA01_R02.txt,F01,SA01,Fall,3000
F01_SA01_R03.txt,F01,SA01,Fall,3000
F01_SA01_R04.txt,F01,SA01,Fall,3000
F01_SA01_R05.txt,F01,SA01,Fall,3000
F02_SA01_R01.txt,F02,SA01,Fall,3000
