kelompok,adxl_x_max,label
Dewasa,1.6868171723253123,ADL
Dewasa,2.2558551474527486,ADL
Dewasa,2.8574265475440264,ADL
Dewasa,4.060497553362072,ADL
Dewasa,1.547338551124761,ADL
Dewasa,1.494277209851911,ADL
Dewasa,1.6276411454132595,ADL
Dewasa,1.429639471529339,ADL
Dewasa,1.4365655930464853,ADL
Dewasa,2.6907825383975776,ADL
Dewasa,2.9466902447385777,ADL
Dewasa,2.652228688594097,ADL
Dewasa,2.642741963001271,ADL
Dewasa,2.7339676035794342,ADL
Dewasa,1.1760018480766463,ADL
Dewasa,1.1839611125436615,ADL
Dewasa,1.1946101899194461,ADL
Dewasa,1.2192006378412457,ADL
Dewasa,1.2218635109753975,ADL
Dewasa,4.352410992233213,ADL
Dewasa,6.630632417415613,ADL
Dewasa,3.3531328270528404,ADL
Dewasa,4.234688497389374,ADL
Dewasa,3.294673528170365,ADL
Dewasa,2.4072200256630314,ADL
Dewasa,2.0979544713523186,ADL
Dewasa,2.114980976569293,ADL
Dewasa,2.2547760182727963,ADL
Dewasa,1.9125990898043197,ADL
Dewasa,1.7798359930368233,Fall
Dewasa,1.827043784165506,Fall
Dewasa,1.7916917429507266,Fall
Dewasa,1.6697059893347428,Fall
Dewasa,1.9154530981700029,Fall
Dewasa,1.7480588774029286,Fall
Dewasa,1.9297665722665787,Fall
Dewasa,2.0613936722689123,Fall
Dewasa,1.9022635378366513,Fall
Dewasa,1.9006184424726567,Fall
Dewasa,2.069343080818841,Fall
Dewasa,1.9613109704114362,Fall
Dewasa,1.809340254955691,Fall
Dewasa,1.8334133246339497,Fall
Dewasa,2.1218885193788752,Fall
Dewasa,2.294146311769301,Fall
Dewasa,2.008230440450778,Fall
Dewasa,1.827695095017646,Fall
Dewasa,1.7070133723320133,Fall
Dewasa,1.7264299298652046,Fall
Dewasa,3.5524997560311755,Fall
Dewasa,3.7405765386898415,Fall
Dewasa,3.3516581061538595,Fall
Dewasa,3.5173997256607223,Fall
Dewasa,2.9894044049424062,Fall
Dewasa,1.8530494095565322,Fall
Dewasa,1.8770618546160613,Fall
Dewasa,1.8956303190866686,Fall
Dewasa,1.7358612016310881,Fall
Dewasa,1.8287967849556337,Fall
Lansia,1.09949662221656,ADL
Lansia,1.1300545630321075,ADL
Lansia,1.063676967601654,ADL
Lansia,1.1883349244123582,ADL
Lansia,1.1182591560273774,ADL
Lansia,1.5206605299229756,ADL
Lansia,1.578091158362394,ADL
Lansia,3.145850848892325,ADL
Lansia,4.135645221893095,ADL
Lansia,1.8930487111671381,ADL
Lansia,1.9225775202287845,ADL
Lansia,1.8244027610619078,ADL
Lansia,1.815872737508916,ADL
Lansia,1.8188953040109606,ADL
Lansia,1.265221048575233,ADL
Lansia,1.2255046194387131,ADL
Lansia,1.2260772328280853,ADL
Lansia,1.2651064717112253,ADL
Lansia,1.2336021611492853,ADL
Lansia,1.7962719776186804,ADL
Lansia,1.6115399955404652,ADL
Lansia,1.7808816093835729,ADL
Lansia,1.9192134136028554,ADL
Lansia,1.5670149612150726,ADL
Lansia,1.7712377946496378,ADL
Lansia,1.397684416639044,ADL
Lansia,1.2831659645494518,ADL
Lansia,1.249365073122144,ADL
Lansia,1.5787485231708256,ADL
Lansia,1.5490977953286833,ADL
Lansia,1.4925095774792159,Fall
Lansia,1.673453183283185,Fall
Lansia,1.6437888021204434,Fall
Lansia,1.6333824513633894,Fall
Lansia,1.6148883490454726,Fall
Lansia,1.719113952942947,Fall
Lansia,1.5454933855204622,Fall
Lansia,1.5779412795286853,Fall
Lansia,1.5336894630728297,Fall
Lansia,1.5473138976470038,Fall
Lansia,1.5704533907566511,Fall
Lansia,1.5434680758512225,Fall
Lansia,1.5129698472835018,Fall
Lansia,1.5659873192908325,Fall
Lansia,1.6537652720973774,Fall
Lansia,1.7046384473923275,Fall
Lansia,1.5012710272517835,Fall
Lansia,1.6600137806515718,Fall
Lansia,1.7001748387803752,Fall
Lansia,1.6693038421398343,Fall
Lansia,2.3331465873465547,Fall
Lansia,2.514921291325536,Fall
Lansia,2.5405914867485215,Fall
Lansia,2.3306142313374174,Fall
Lansia,2.3525258875850468,Fall
Lansia,1.9890485380990737,Fall
Lansia,1.8824599319793802,Fall
Lansia,1.8424129487258856,Fall
Lansia,2.0487750603828805,Fall
Lansia,1.9636824040522376,Fall
